areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2022-02-14,28669,18393951
overview,United Kingdom,K02000001,2022-02-13,39626,18365282
overview,United Kingdom,K02000001,2022-02-12,36303,18325656
overview,United Kingdom,K02000001,2022-02-11,43410,18289353
overview,United Kingdom,K02000001,2022-02-10,51117,18245943
overview,United Kingdom,K02000001,2022-02-09,62879,18194826
overview,United Kingdom,K02000001,2022-02-08,68068,18131947
overview,United Kingdom,K02000001,2022-02-07,75080,18063879
overview,United Kingdom,K02000001,2022-02-06,59688,17988799
overview,United Kingdom,K02000001,2022-02-05,51537,17929111
overview,United Kingdom,K02000001,2022-02-04,62437,17877574
overview,United Kingdom,K02000001,2022-02-03,75721,17815137
overview,United Kingdom,K02000001,2022-02-02,87363,17739416
overview,United Kingdom,K02000001,2022-02-01,92601,17652053
overview,United Kingdom,K02000001,2022-01-31,103852,17559452
overview,United Kingdom,K02000001,2022-01-30,86736,17455600
overview,United Kingdom,K02000001,2022-01-29,72825,17368864
overview,United Kingdom,K02000001,2022-01-28,83340,17296039
overview,United Kingdom,K02000001,2022-01-27,95336,17212699
overview,United Kingdom,K02000001,2022-01-26,107752,17117363
overview,United Kingdom,K02000001,2022-01-25,112209,17009611
overview,United Kingdom,K02000001,2022-01-24,126257,16897402
overview,United Kingdom,K02000001,2022-01-23,101516,16771145
overview,United Kingdom,K02000001,2022-01-22,80985,16669629
overview,United Kingdom,K02000001,2022-01-21,90840,16588644
overview,United Kingdom,K02000001,2022-01-20,99540,16497804
overview,United Kingdom,K02000001,2022-01-19,110793,16398264
overview,United Kingdom,K02000001,2022-01-18,117753,16287471
overview,United Kingdom,K02000001,2022-01-17,130396,16169718
overview,United Kingdom,K02000001,2022-01-16,97263,16039322
overview,United Kingdom,K02000001,2022-01-15,77283,15942059
overview,United Kingdom,K02000001,2022-01-14,85548,15864776
overview,United Kingdom,K02000001,2022-01-13,95591,15779228
overview,United Kingdom,K02000001,2022-01-12,102367,15683637
overview,United Kingdom,K02000001,2022-01-11,114318,15581270
overview,United Kingdom,K02000001,2022-01-10,131671,15466952
overview,United Kingdom,K02000001,2022-01-09,94902,15335281
overview,United Kingdom,K02000001,2022-01-08,92777,15240379
overview,United Kingdom,K02000001,2022-01-07,119242,15147602
overview,United Kingdom,K02000001,2022-01-06,171463,15028360
overview,United Kingdom,K02000001,2022-01-05,219830,14856897
overview,United Kingdom,K02000001,2022-01-04,273486,14637067
overview,United Kingdom,K02000001,2022-01-03,227953,14363581
overview,United Kingdom,K02000001,2022-01-02,179461,14135628
overview,United Kingdom,K02000001,2022-01-01,117523,13956167
overview,United Kingdom,K02000001,2021-12-31,186787,13838644
overview,United Kingdom,K02000001,2021-12-30,234256,13651857
overview,United Kingdom,K02000001,2021-12-29,270394,13417601
overview,United Kingdom,K02000001,2021-12-28,210668,13147207
overview,United Kingdom,K02000001,2021-12-27,193302,12936539
overview,United Kingdom,K02000001,2021-12-26,115670,12743237
overview,United Kingdom,K02000001,2021-12-25,69991,12627567
overview,United Kingdom,K02000001,2021-12-24,136417,12557576
overview,United Kingdom,K02000001,2021-12-23,159292,12421159
overview,United Kingdom,K02000001,2021-12-22,160265,12261867
overview,United Kingdom,K02000001,2021-12-21,149379,12101602
overview,United Kingdom,K02000001,2021-12-20,133251,11952223
overview,United Kingdom,K02000001,2021-12-19,88723,11818972
overview,United Kingdom,K02000001,2021-12-18,88499,11730249
overview,United Kingdom,K02000001,2021-12-17,95462,11641750
overview,United Kingdom,K02000001,2021-12-16,105545,11546288
overview,United Kingdom,K02000001,2021-12-15,112188,11440743
overview,United Kingdom,K02000001,2021-12-14,102378,11328555
overview,United Kingdom,K02000001,2021-12-13,86872,11226177
overview,United Kingdom,K02000001,2021-12-12,52994,11139305
overview,United Kingdom,K02000001,2021-12-11,48459,11086311
overview,United Kingdom,K02000001,2021-12-10,52342,11037852
overview,United Kingdom,K02000001,2021-12-09,56866,10985510
overview,United Kingdom,K02000001,2021-12-08,58665,10928644
overview,United Kingdom,K02000001,2021-12-07,56080,10869979
overview,United Kingdom,K02000001,2021-12-06,59547,10813899
overview,United Kingdom,K02000001,2021-12-05,40929,10754352
overview,United Kingdom,K02000001,2021-12-04,38718,10713423
overview,United Kingdom,K02000001,2021-12-03,45593,10674705
overview,United Kingdom,K02000001,2021-12-02,50233,10629112
overview,United Kingdom,K02000001,2021-12-01,54749,10578879
overview,United Kingdom,K02000001,2021-11-30,55618,10524130
overview,United Kingdom,K02000001,2021-11-29,56233,10468512
overview,United Kingdom,K02000001,2021-11-28,39665,10412279
overview,United Kingdom,K02000001,2021-11-27,33271,10372614
overview,United Kingdom,K02000001,2021-11-26,39297,10339343
overview,United Kingdom,K02000001,2021-11-25,43379,10300046
overview,United Kingdom,K02000001,2021-11-24,46724,10256667
overview,United Kingdom,K02000001,2021-11-23,48148,10209943
overview,United Kingdom,K02000001,2021-11-22,50692,10161795
overview,United Kingdom,K02000001,2021-11-21,37226,10111103
overview,United Kingdom,K02000001,2021-11-20,35299,10073877
overview,United Kingdom,K02000001,2021-11-19,39567,10038578
overview,United Kingdom,K02000001,2021-11-18,44028,9999011
overview,United Kingdom,K02000001,2021-11-17,45859,9954983
overview,United Kingdom,K02000001,2021-11-16,46374,9909124
overview,United Kingdom,K02000001,2021-11-15,50890,9862750
overview,United Kingdom,K02000001,2021-11-14,35478,9811860
overview,United Kingdom,K02000001,2021-11-13,32858,9776382
overview,United Kingdom,K02000001,2021-11-12,37724,9743524
overview,United Kingdom,K02000001,2021-11-11,40953,9705800
overview,United Kingdom,K02000001,2021-11-10,42902,9664847
overview,United Kingdom,K02000001,2021-11-09,42203,9621945
overview,United Kingdom,K02000001,2021-11-08,44085,9579742
overview,United Kingdom,K02000001,2021-11-07,30567,9535657
overview,United Kingdom,K02000001,2021-11-06,27425,9505090
overview,United Kingdom,K02000001,2021-11-05,30295,9477665
overview,United Kingdom,K02000001,2021-11-04,33616,9447370
overview,United Kingdom,K02000001,2021-11-03,35933,9413754
overview,United Kingdom,K02000001,2021-11-02,37975,9377821
overview,United Kingdom,K02000001,2021-11-01,45068,9339846
overview,United Kingdom,K02000001,2021-10-31,34778,9294778
overview,United Kingdom,K02000001,2021-10-30,33536,9260000
overview,United Kingdom,K02000001,2021-10-29,40219,9226464
overview,United Kingdom,K02000001,2021-10-28,41340,9186245
overview,United Kingdom,K02000001,2021-10-27,42999,9144905
overview,United Kingdom,K02000001,2021-10-26,42078,9101906
overview,United Kingdom,K02000001,2021-10-25,47424,9059828
overview,United Kingdom,K02000001,2021-10-24,35737,9012404
overview,United Kingdom,K02000001,2021-10-23,35072,8976667
overview,United Kingdom,K02000001,2021-10-22,40635,8941595
overview,United Kingdom,K02000001,2021-10-21,45173,8900960
overview,United Kingdom,K02000001,2021-10-20,51620,8855787
overview,United Kingdom,K02000001,2021-10-19,52486,8804167
overview,United Kingdom,K02000001,2021-10-18,57690,8751681
overview,United Kingdom,K02000001,2021-10-17,43724,8693991
overview,United Kingdom,K02000001,2021-10-16,37857,8650267
overview,United Kingdom,K02000001,2021-10-15,43528,8612410
overview,United Kingdom,K02000001,2021-10-14,46379,8568882
overview,United Kingdom,K02000001,2021-10-13,47734,8522503
overview,United Kingdom,K02000001,2021-10-12,48269,8474769
overview,United Kingdom,K02000001,2021-10-11,50258,8426500
overview,United Kingdom,K02000001,2021-10-10,36397,8376242
overview,United Kingdom,K02000001,2021-10-09,32279,8339845
overview,United Kingdom,K02000001,2021-10-08,35571,8307566
overview,United Kingdom,K02000001,2021-10-07,38437,8271995
overview,United Kingdom,K02000001,2021-10-06,39235,8233558
overview,United Kingdom,K02000001,2021-10-05,39238,8194323
overview,United Kingdom,K02000001,2021-10-04,43703,8155085
overview,United Kingdom,K02000001,2021-10-03,32032,8111382
overview,United Kingdom,K02000001,2021-10-02,26297,8079350
overview,United Kingdom,K02000001,2021-10-01,29039,8053053
overview,United Kingdom,K02000001,2021-09-30,32570,8024014
overview,United Kingdom,K02000001,2021-09-29,34793,7991444
overview,United Kingdom,K02000001,2021-09-28,36505,7956651
overview,United Kingdom,K02000001,2021-09-27,41558,7920146
overview,United Kingdom,K02000001,2021-09-26,32045,7878588
overview,United Kingdom,K02000001,2021-09-25,28540,7846543
overview,United Kingdom,K02000001,2021-09-24,32074,7818003
overview,United Kingdom,K02000001,2021-09-23,35810,7785929
overview,United Kingdom,K02000001,2021-09-22,36719,7750119
overview,United Kingdom,K02000001,2021-09-21,38808,7713400
overview,United Kingdom,K02000001,2021-09-20,40730,7674592
overview,United Kingdom,K02000001,2021-09-19,31062,7633862
overview,United Kingdom,K02000001,2021-09-18,26629,7602800
overview,United Kingdom,K02000001,2021-09-17,29438,7576171
overview,United Kingdom,K02000001,2021-09-16,29523,7546733
overview,United Kingdom,K02000001,2021-09-15,30341,7517210
overview,United Kingdom,K02000001,2021-09-14,31372,7486869
overview,United Kingdom,K02000001,2021-09-13,34606,7455497
overview,United Kingdom,K02000001,2021-09-12,24030,7420891
overview,United Kingdom,K02000001,2021-09-11,23515,7396861
overview,United Kingdom,K02000001,2021-09-10,29143,7373346
overview,United Kingdom,K02000001,2021-09-09,33916,7344203
overview,United Kingdom,K02000001,2021-09-08,35787,7310287
overview,United Kingdom,K02000001,2021-09-07,38533,7274500
overview,United Kingdom,K02000001,2021-09-06,44858,7235967
overview,United Kingdom,K02000001,2021-09-05,31758,7191109
overview,United Kingdom,K02000001,2021-09-04,31757,7159351
overview,United Kingdom,K02000001,2021-09-03,38574,7127594
overview,United Kingdom,K02000001,2021-09-02,42211,7089020
overview,United Kingdom,K02000001,2021-09-01,43440,7046809
overview,United Kingdom,K02000001,2021-08-31,45117,7003369
overview,United Kingdom,K02000001,2021-08-30,34658,6958252
overview,United Kingdom,K02000001,2021-08-29,26070,6923594
overview,United Kingdom,K02000001,2021-08-28,27533,6897524
overview,United Kingdom,K02000001,2021-08-27,33661,6869991
overview,United Kingdom,K02000001,2021-08-26,37525,6836330
overview,United Kingdom,K02000001,2021-08-25,38690,6798805
overview,United Kingdom,K02000001,2021-08-24,37607,6760115
overview,United Kingdom,K02000001,2021-08-23,39657,6722508
overview,United Kingdom,K02000001,2021-08-22,28687,6682851
overview,United Kingdom,K02000001,2021-08-21,28479,6654164
overview,United Kingdom,K02000001,2021-08-20,32181,6625685
overview,United Kingdom,K02000001,2021-08-19,36437,6593504
overview,United Kingdom,K02000001,2021-08-18,38683,6557067
overview,United Kingdom,K02000001,2021-08-17,37848,6518384
overview,United Kingdom,K02000001,2021-08-16,36869,6480536
overview,United Kingdom,K02000001,2021-08-15,25310,6443667
overview,United Kingdom,K02000001,2021-08-14,25036,6418357
overview,United Kingdom,K02000001,2021-08-13,28957,6393321
overview,United Kingdom,K02000001,2021-08-12,31706,6364364
overview,United Kingdom,K02000001,2021-08-11,33322,6332658
overview,United Kingdom,K02000001,2021-08-10,31492,6299336
overview,United Kingdom,K02000001,2021-08-09,32137,6267844
overview,United Kingdom,K02000001,2021-08-08,22868,6235707
overview,United Kingdom,K02000001,2021-08-07,22557,6212839
overview,United Kingdom,K02000001,2021-08-06,28048,6190282
overview,United Kingdom,K02000001,2021-08-05,31644,6162234
overview,United Kingdom,K02000001,2021-08-04,32320,6130590
overview,United Kingdom,K02000001,2021-08-03,30426,6098270
overview,United Kingdom,K02000001,2021-08-02,29818,6067844
overview,United Kingdom,K02000001,2021-08-01,20891,6038026
overview,United Kingdom,K02000001,2021-07-31,20566,6017135
overview,United Kingdom,K02000001,2021-07-30,24741,5996569
overview,United Kingdom,K02000001,2021-07-29,28413,5971828
overview,United Kingdom,K02000001,2021-07-28,30223,5943415
overview,United Kingdom,K02000001,2021-07-27,29558,5913192
overview,United Kingdom,K02000001,2021-07-26,29960,5883634
overview,United Kingdom,K02000001,2021-07-25,22160,5853674
overview,United Kingdom,K02000001,2021-07-24,22840,5831514
overview,United Kingdom,K02000001,2021-07-23,27751,5808674
overview,United Kingdom,K02000001,2021-07-22,31256,5780923
overview,United Kingdom,K02000001,2021-07-21,35521,5749667
overview,United Kingdom,K02000001,2021-07-20,39848,5714146
overview,United Kingdom,K02000001,2021-07-19,47890,5674298
overview,United Kingdom,K02000001,2021-07-18,36168,5626408
overview,United Kingdom,K02000001,2021-07-17,38464,5590240
overview,United Kingdom,K02000001,2021-07-16,55242,5551776
overview,United Kingdom,K02000001,2021-07-15,61977,5496534
overview,United Kingdom,K02000001,2021-07-14,54883,5434557
overview,United Kingdom,K02000001,2021-07-13,47675,5379674
overview,United Kingdom,K02000001,2021-07-12,44486,5331999
overview,United Kingdom,K02000001,2021-07-11,30488,5287513
overview,United Kingdom,K02000001,2021-07-10,28360,5257025
overview,United Kingdom,K02000001,2021-07-09,32780,5228665
overview,United Kingdom,K02000001,2021-07-08,33979,5195885
overview,United Kingdom,K02000001,2021-07-07,38567,5161906
overview,United Kingdom,K02000001,2021-07-06,36024,5123339
overview,United Kingdom,K02000001,2021-07-05,34865,5087315
overview,United Kingdom,K02000001,2021-07-04,25138,5052450
overview,United Kingdom,K02000001,2021-07-03,24016,5027312
overview,United Kingdom,K02000001,2021-07-02,26306,5003296
overview,United Kingdom,K02000001,2021-07-01,28755,4976990
overview,United Kingdom,K02000001,2021-06-30,28884,4948235
overview,United Kingdom,K02000001,2021-06-29,28153,4919351
overview,United Kingdom,K02000001,2021-06-28,28391,4891198
overview,United Kingdom,K02000001,2021-06-27,18489,4862807
overview,United Kingdom,K02000001,2021-06-26,16276,4844318
overview,United Kingdom,K02000001,2021-06-25,18148,4828042
overview,United Kingdom,K02000001,2021-06-24,18682,4809894
overview,United Kingdom,K02000001,2021-06-23,18309,4791212
overview,United Kingdom,K02000001,2021-06-22,17357,4772903
overview,United Kingdom,K02000001,2021-06-21,16264,4755546
overview,United Kingdom,K02000001,2021-06-20,10070,4739282
overview,United Kingdom,K02000001,2021-06-19,8437,4729212
overview,United Kingdom,K02000001,2021-06-18,10313,4720775
overview,United Kingdom,K02000001,2021-06-17,11095,4710462
overview,United Kingdom,K02000001,2021-06-16,11037,4699367
overview,United Kingdom,K02000001,2021-06-15,10784,4688330
overview,United Kingdom,K02000001,2021-06-14,10350,4677546
overview,United Kingdom,K02000001,2021-06-13,7127,4667196
overview,United Kingdom,K02000001,2021-06-12,6274,4660069
overview,United Kingdom,K02000001,2021-06-11,7607,4653795
overview,United Kingdom,K02000001,2021-06-10,8029,4646188
overview,United Kingdom,K02000001,2021-06-09,8199,4638159
overview,United Kingdom,K02000001,2021-06-08,7880,4629960
overview,United Kingdom,K02000001,2021-06-07,7936,4622080
overview,United Kingdom,K02000001,2021-06-06,5524,4614144
overview,United Kingdom,K02000001,2021-06-05,4723,4608620
overview,United Kingdom,K02000001,2021-06-04,5847,4603897
overview,United Kingdom,K02000001,2021-06-03,6246,4598050
overview,United Kingdom,K02000001,2021-06-02,6162,4591804
overview,United Kingdom,K02000001,2021-06-01,5418,4585642
overview,United Kingdom,K02000001,2021-05-31,3889,4580224
overview,United Kingdom,K02000001,2021-05-30,3159,4576335
overview,United Kingdom,K02000001,2021-05-29,2997,4573176
overview,United Kingdom,K02000001,2021-05-28,3587,4570179
overview,United Kingdom,K02000001,2021-05-27,3738,4566592
overview,United Kingdom,K02000001,2021-05-26,3917,4562854
overview,United Kingdom,K02000001,2021-05-25,3416,4558937
overview,United Kingdom,K02000001,2021-05-24,3361,4555521
overview,United Kingdom,K02000001,2021-05-23,2320,4552160
overview,United Kingdom,K02000001,2021-05-22,1995,4549840
overview,United Kingdom,K02000001,2021-05-21,2363,4547845
overview,United Kingdom,K02000001,2021-05-20,2509,4545482
overview,United Kingdom,K02000001,2021-05-19,2805,4542973
overview,United Kingdom,K02000001,2021-05-18,2809,4540168
overview,United Kingdom,K02000001,2021-05-17,2852,4537359
overview,United Kingdom,K02000001,2021-05-16,1915,4534507
overview,United Kingdom,K02000001,2021-05-15,1624,4532592
overview,United Kingdom,K02000001,2021-05-14,1927,4530968
overview,United Kingdom,K02000001,2021-05-13,2179,4529041
overview,United Kingdom,K02000001,2021-05-12,2329,4526862
overview,United Kingdom,K02000001,2021-05-11,2326,4524533
overview,United Kingdom,K02000001,2021-05-10,2802,4522207
overview,United Kingdom,K02000001,2021-05-09,2302,4519405
overview,United Kingdom,K02000001,2021-05-08,1604,4517103
overview,United Kingdom,K02000001,2021-05-07,1976,4515499
overview,United Kingdom,K02000001,2021-05-06,2322,4513523
overview,United Kingdom,K02000001,2021-05-05,2565,4511201
overview,United Kingdom,K02000001,2021-05-04,2548,4508636
overview,United Kingdom,K02000001,2021-05-03,2082,4506088
overview,United Kingdom,K02000001,2021-05-02,1516,4504006
overview,United Kingdom,K02000001,2021-05-01,1429,4502490
overview,United Kingdom,K02000001,2021-04-30,1819,4501061
overview,United Kingdom,K02000001,2021-04-29,2227,4499242
overview,United Kingdom,K02000001,2021-04-28,2493,4497015
overview,United Kingdom,K02000001,2021-04-27,2171,4494522
overview,United Kingdom,K02000001,2021-04-26,2623,4492351
overview,United Kingdom,K02000001,2021-04-25,2116,4489728
overview,United Kingdom,K02000001,2021-04-24,1561,4487612
overview,United Kingdom,K02000001,2021-04-23,2012,4486051
overview,United Kingdom,K02000001,2021-04-22,2404,4484039
overview,United Kingdom,K02000001,2021-04-21,2709,4481635
overview,United Kingdom,K02000001,2021-04-20,2536,4478926
overview,United Kingdom,K02000001,2021-04-19,2734,4476390
overview,United Kingdom,K02000001,2021-04-18,2584,4473656
overview,United Kingdom,K02000001,2021-04-17,1719,4471072
overview,United Kingdom,K02000001,2021-04-16,2345,4469353
overview,United Kingdom,K02000001,2021-04-15,2339,4467008
overview,United Kingdom,K02000001,2021-04-14,2508,4464669
overview,United Kingdom,K02000001,2021-04-13,2489,4462161
overview,United Kingdom,K02000001,2021-04-12,2876,4459672
overview,United Kingdom,K02000001,2021-04-11,2374,4456796
overview,United Kingdom,K02000001,2021-04-10,2374,4454422
overview,United Kingdom,K02000001,2021-04-09,2947,4452048
overview,United Kingdom,K02000001,2021-04-08,3142,4449101
overview,United Kingdom,K02000001,2021-04-07,3247,4445959
overview,United Kingdom,K02000001,2021-04-06,3307,4442712
overview,United Kingdom,K02000001,2021-04-05,2734,4439405
overview,United Kingdom,K02000001,2021-04-04,2406,4436671
overview,United Kingdom,K02000001,2021-04-03,2505,4434265
overview,United Kingdom,K02000001,2021-04-02,2742,4431760
overview,United Kingdom,K02000001,2021-04-01,3670,4429018
overview,United Kingdom,K02000001,2021-03-31,3963,4425348
overview,United Kingdom,K02000001,2021-03-30,3771,4421385
overview,United Kingdom,K02000001,2021-03-29,4193,4417614
overview,United Kingdom,K02000001,2021-03-28,5027,4413421
overview,United Kingdom,K02000001,2021-03-27,3727,4408394
overview,United Kingdom,K02000001,2021-03-26,4560,4404667
overview,United Kingdom,K02000001,2021-03-25,5613,4400107
overview,United Kingdom,K02000001,2021-03-24,6216,4394494
overview,United Kingdom,K02000001,2021-03-23,5477,4388278
overview,United Kingdom,K02000001,2021-03-22,6449,4382801
overview,United Kingdom,K02000001,2021-03-21,5385,4376352
overview,United Kingdom,K02000001,2021-03-20,4241,4370967
overview,United Kingdom,K02000001,2021-03-19,5172,4366726
overview,United Kingdom,K02000001,2021-03-18,5618,4361554
overview,United Kingdom,K02000001,2021-03-17,5970,4355936
overview,United Kingdom,K02000001,2021-03-16,5848,4349966
overview,United Kingdom,K02000001,2021-03-15,6698,4344118
overview,United Kingdom,K02000001,2021-03-14,4420,4337420
overview,United Kingdom,K02000001,2021-03-13,4377,4333000
overview,United Kingdom,K02000001,2021-03-12,5716,4328623
overview,United Kingdom,K02000001,2021-03-11,5931,4322907
overview,United Kingdom,K02000001,2021-03-10,6245,4316976
overview,United Kingdom,K02000001,2021-03-09,6482,4310731
overview,United Kingdom,K02000001,2021-03-08,6883,4304249
overview,United Kingdom,K02000001,2021-03-07,4404,4297366
overview,United Kingdom,K02000001,2021-03-06,4624,4292962
overview,United Kingdom,K02000001,2021-03-05,5464,4288338
overview,United Kingdom,K02000001,2021-03-04,5934,4282874
overview,United Kingdom,K02000001,2021-03-03,6171,4276940
overview,United Kingdom,K02000001,2021-03-02,6915,4270769
overview,United Kingdom,K02000001,2021-03-01,7183,4263854
overview,United Kingdom,K02000001,2021-02-28,4868,4256671
overview,United Kingdom,K02000001,2021-02-27,4946,4251803
overview,United Kingdom,K02000001,2021-02-26,6779,4246857
overview,United Kingdom,K02000001,2021-02-25,8016,4240078
overview,United Kingdom,K02000001,2021-02-24,8843,4232062
overview,United Kingdom,K02000001,2021-02-23,9762,4223219
overview,United Kingdom,K02000001,2021-02-22,11652,4213457
overview,United Kingdom,K02000001,2021-02-21,8095,4201805
overview,United Kingdom,K02000001,2021-02-20,8302,4193710
overview,United Kingdom,K02000001,2021-02-19,10726,4185408
overview,United Kingdom,K02000001,2021-02-18,11788,4174682
overview,United Kingdom,K02000001,2021-02-17,11942,4162894
overview,United Kingdom,K02000001,2021-02-16,12926,4150952
overview,United Kingdom,K02000001,2021-02-15,14727,4138026
